
📡影视频道,#genre#
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://113.105.29.43:60901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://113.105.29.43:60901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CHC影迷电影,http://113.105.29.43:60901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
北京卫视4K,https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s41/index.m3u8?time=1743118885&sign=d0a9f3569fe58ebdd9a30738464ec58f


📡河南移动IPTV,#genre#
河南IPTV导视,http://39.134.234.76:80/wh7f454c46tw4284391826_-1986650839/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226665/1.m3u8
CCTV1综合,http://39.134.234.29:80/wh7f454c46tw542650720_280418696/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/1.m3u8
CCTV2财经,http://39.134.234.81:80/wh7f454c46tw442111247_877349602/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/1.m3u8
CCTV3综艺,http://39.134.234.97:80/wh7f454c46tw489572349_1945691100/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/1.m3u8
CCTV4中文国际,http://39.134.234.95:80/wh7f454c46tw888069528_1069111868/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/1.m3u8
CCTV5体育,http://39.134.234.52:80/wh7f454c46tw1035383802_489957005/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226635/1.m3u8
CCTV5+体育赛事,http://39.134.234.33:80/wh7f454c46tw1644405022_220412586/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/1.m3u8
CCTV6电影,http://39.134.234.98:80/wh7f454c46tw554313908_-541126837/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226637/1.m3u8
CCTV7国防军事,http://39.134.234.100:80/wh7f454c46tw584123677_-984275346/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226678/1.m3u8
